organisation_name,organisation_id,region_name,region_id
Amber Valley,E07000032,East Midlands,E12000004
Ashfield,E07000170,East Midlands,E12000004
Bassetlaw,E07000171,East Midlands,E12000004
Blaby,E07000129,East Midlands,E12000004
Bolsover,E07000033,East Midlands,E12000004
Boston,E07000136,East Midlands,E12000004
Broxtowe,E07000172,East Midlands,E12000004
Charnwood,E07000130,East Midlands,E12000004
Chesterfield,E07000034,East Midlands,E12000004
Corby,E07000150,East Midlands,E12000004
Daventry,E07000151,East Midlands,E12000004
Derby,E06000015,East Midlands,E12000004
Derbyshire Dales,E07000035,East Midlands,E12000004
East Lindsey,E07000137,East Midlands,E12000004
East Northamptonshire,E07000152,East Midlands,E12000004
Erewash,E07000036,East Midlands,E12000004
Gedling,E07000173,East Midlands,E12000004
Harborough,E07000131,East Midlands,E12000004
High Peak,E07000037,East Midlands,E12000004
Hinckley and Bosworth,E07000132,East Midlands,E12000004
Kettering,E07000153,East Midlands,E12000004
Leicester,E06000016,East Midlands,E12000004
Lincoln,E07000138,East Midlands,E12000004
Mansfield,E07000174,East Midlands,E12000004
Melton,E07000133,East Midlands,E12000004
Newark and Sherwood,E07000175,East Midlands,E12000004
North East Derbyshire,E07000038,East Midlands,E12000004
North Kesteven,E07000139,East Midlands,E12000004
North West Leicestershire,E07000134,East Midlands,E12000004
Northampton,E07000154,East Midlands,E12000004
Nottingham,E06000018,East Midlands,E12000004
Oadby and Wigston,E07000135,East Midlands,E12000004
Rushcliffe,E07000176,East Midlands,E12000004
Rutland,E06000017,East Midlands,E12000004
South Derbyshire,E07000039,East Midlands,E12000004
South Holland,E07000140,East Midlands,E12000004
South Kesteven,E07000141,East Midlands,E12000004
South Northamptonshire,E07000155,East Midlands,E12000004
Wellingborough,E07000156,East Midlands,E12000004
West Lindsey,E07000142,East Midlands,E12000004
Nottinghamshire,E10000024,East Midlands,E12000004
Northamptonshire,E10000021,East Midlands,E12000004
Lincolnshire,E10000019,East Midlands,E12000004
Leicestershire,E10000018,East Midlands,E12000004
Derbyshire,E10000007,East Midlands,E12000004
Babergh,E07000200,East of England,E12000006
Basildon,E07000066,East of England,E12000006
Bedford,E06000055,East of England,E12000006
Braintree,E07000067,East of England,E12000006
Breckland,E07000143,East of England,E12000006
Brentwood,E07000068,East of England,E12000006
Broadland,E07000144,East of England,E12000006
Broxbourne,E07000095,East of England,E12000006
Cambridge,E07000008,East of England,E12000006
Castle Point,E07000069,East of England,E12000006
Central Bedfordshire,E06000056,East of England,E12000006
Chelmsford,E07000070,East of England,E12000006
Colchester,E07000071,East of England,E12000006
Dacorum,E07000096,East of England,E12000006
East Cambridgeshire,E07000009,East of England,E12000006
East Hertfordshire,E07000242,East of England,E12000006
East Suffolk,E07000244,East of England,E12000006
Epping Forest,E07000072,East of England,E12000006
Fenland,E07000010,East of England,E12000006
Forest Heath,E07000201,East of England,E12000006
Great Yarmouth,E07000145,East of England,E12000006
Harlow,E07000073,East of England,E12000006
Hertsmere,E07000098,East of England,E12000006
Huntingdonshire,E07000011,East of England,E12000006
Ipswich,E07000202,East of England,E12000006
King's Lynn and West Norfolk,E07000146,East of England,E12000006
Luton,E06000032,East of England,E12000006
Maldon,E07000074,East of England,E12000006
Mid Suffolk,E07000203,East of England,E12000006
North Hertfordshire,E07000099,East of England,E12000006
North Norfolk,E07000147,East of England,E12000006
Norwich,E07000148,East of England,E12000006
Peterborough,E06000031,East of England,E12000006
Rochford,E07000075,East of England,E12000006
South Cambridgeshire,E07000012,East of England,E12000006
South Norfolk,E07000149,East of England,E12000006
Southend-on-Sea,E06000033,East of England,E12000006
St Albans,E07000240,East of England,E12000006
St Edmundsbury,E07000204,East of England,E12000006
